"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2314","User login with wrong email or password","LMS system","2026-07-23","passed","2026-07-23","Authorization","Authentication","",""
"","2994","Edit course","LMS system","2026-07-23","passed","2026-07-23","Courses","Courses","",""
"","1595","Check displaying of dashboard page","LMS system","2026-07-23","passed","2026-07-23","Dashboard","Dashboard","",""
"","1375","Check displaying of empty courses list","LMS system","2026-07-23","passed","2026-07-23","Courses","Courses","",""
"","2135","User login with wrong email or password","LMS system","2026-07-23","passed","2026-07-23","Authorization","Authentication","",""
"","1998","Create course","LMS system","2026-07-23","passed","2026-07-23","Courses","Courses","",""
"","1634","Registration with correct email, username and password","LMS system","2026-07-23","passed","2026-07-23","Registration","Authentication","",""
"","1289","Navigation from login page to registration page","LMS system","2026-07-23","passed","2026-07-23","Authorization","Authentication","",""
"","1332","User login with wrong email or password","LMS system","2026-07-23","passed","2026-07-23","Authorization","Authentication","",""
"","2310","User login with correct email and password","LMS system","2026-07-23","passed","2026-07-23","Authorization","Authentication","",""
